GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJWBE001,AJWBE002,AJWBE003,AJWBE004,AJWBE005,AJWBE006,AJWBE007,AJWBE008,AJWBE009,AJWBE010,AJWBE011,AJWBE012,AJWBE013,AJWBE014,AJWBE015,AJWBE016,AJWBE017,AJWBE018,AJWBE019,AJWBE020,AJWBE021,AJWBE022,AJWBE023,AJWBE024,AJWBE025,AJWBE026,AJWBE027,AJWBE028,AJWBE029,AJWBE030,AJWBE031,AJWBE032,AJWBE033,AJWBE034,AJWBE035,AJWBE036,AJWBE037,AJWBE038,AJWBE039,AJWBE040,AJWBE041,AJWBE042,AJWBE043,AJWBE044,AJWBE045,AJWBE046,AJWBE047,AJWBE048,AJWBE049,AJWVE001,AJWVE002,AJWVE003,AJWVE004,AJWVE005,AJWVE006,AJWVE007,AJWVE008,AJWVE009,AJWVE010,AJWVE011,AJWVE012,AJWVE013,AJWVE014,AJWVE015,AJWVE016,AJWVE017,AJWVE018,AJWVE019,AJWVE020,AJWVE021,NAME_M,AJWBM001,AJWBM002,AJWBM003,AJWBM004,AJWBM005,AJWBM006,AJWBM007,AJWBM008,AJWBM009,AJWBM010,AJWBM011,AJWBM012,AJWBM013,AJWBM014,AJWBM015,AJWBM016,AJWBM017,AJWBM018,AJWBM019,AJWBM020,AJWBM021,AJWBM022,AJWBM023,AJWBM024,AJWBM025,AJWBM026,AJWBM027,AJWBM028,AJWBM029,AJWBM030,AJWBM031,AJWBM032,AJWBM033,AJWBM034,AJWBM035,AJWBM036,AJWBM037,AJWBM038,AJWBM039,AJWBM040,AJWBM041,AJWBM042,AJWBM043,AJWBM044,AJWBM045,AJWBM046,AJWBM047,AJWBM048,AJWBM049,AJWVM001,AJWVM002,AJWVM003,AJWVM004,AJWVM005,AJWVM006,AJWVM007,AJWVM008,AJWVM009,AJWVM010,AJWVM011,AJWVM012,AJWVM013,AJWVM014,AJWVM015,AJWVM016,AJWVM017,AJWVM018,AJWVM019,AJWVM020,AJWVM021
"G01001","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (116th Congress), Alabama",706503,340724,21655,21074,25345,14541,8435,4888,4292,13024,23047,20771,20249,20948,21049,23409,23148,8422,13673,8272,10771,14213,9658,6023,3817,365779,21421,22073,22956,13953,8245,4218,4352,13610,24004,22462,22336,21352,22980,24937,25202,10780,14185,8723,12513,16989,11815,7914,8759,706503,683855,459898,193875,7279,10156,143,1764,10740,546,10194,22648,14337,1230,178,12,0,5535,1356,571,785,"Congressional District 1 (116th Congress), Alabama",673,627,262,810,836,294,333,632,543,707,357,209,877,856,210,306,836,600,776,609,580,661,644,510,377,584,242,948,970,229,299,490,499,641,194,237,803,788,284,265,807,640,664,565,644,614,571,519,664,673,695,588,811,572,565,93,556,1056,385,940,182,1101,483,130,19,28,1033,465,219,426
"G01002","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (116th Congress), Alabama",680575,331028,21533,22054,22276,13335,8534,5208,4710,14896,23499,21541,20179,20504,20625,22081,22894,8361,10933,7014,9685,13168,8577,5485,3936,349547,19820,21384,20802,13126,8169,5090,5190,13198,23668,21765,22353,21464,21998,23114,24819,9558,11773,7847,10900,15580,12072,8030,7827,680575,656410,420590,211747,2535,7574,82,847,13035,287,12748,24165,15372,1283,250,172,49,5964,1075,503,572,"Congressional District 2 (116th Congress), Alabama",1719,1337,403,804,667,363,513,537,454,726,466,384,761,747,415,257,650,495,466,369,475,550,377,357,333,1234,429,822,704,353,355,608,563,670,364,370,752,667,300,324,671,567,485,467,529,571,521,401,465,1719,1727,1014,1886,305,570,47,357,976,139,977,431,905,286,127,154,43,850,293,170,244
"G01003","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,"Congressional District 3 (116th Congress), Alabama",706705,344343,21064,22179,22305,14268,10549,6994,6346,15696,23363,20717,20329,22029,22649,22826,22906,8796,12222,7194,10984,13265,9021,5018,3623,362362,20376,20926,21854,13218,10675,5757,6074,15665,23796,22217,22232,21936,23115,24454,23831,9912,13963,8562,12139,15386,10867,8067,7340,706705,684817,478120,179170,1963,12713,168,720,11963,313,11650,21888,13681,1017,261,250,18,5356,1305,806,499,"Congressional District 3 (116th Congress), Alabama",1347,909,423,814,826,309,399,618,672,714,396,319,901,860,366,295,742,546,628,426,557,519,468,405,358,1016,354,885,726,312,396,522,672,787,302,302,775,753,296,282,646,605,696,494,591,561,605,454,460,1347,1326,1098,1402,292,616,143,327,1230,188,1212,310,886,301,222,163,30,806,366,252,267
"G01004","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,"Congressional District 4 (116th Congress), Alabama",683391,335056,21220,21944,23021,14108,7509,4359,4596,12033,21634,19843,19124,21917,22176,23237,22884,8741,13017,7388,11063,15220,10063,5999,3960,348335,19981,20042,22494,13194,7693,4539,3177,11852,21350,19543,20871,21623,22613,23376,24021,9619,13863,8844,12320,17467,13002,8671,8180,683391,639036,571190,47200,4774,3751,297,412,11412,193,11219,44355,26353,887,789,46,525,14257,1498,782,716,"Congressional District 4 (116th Congress), Alabama",2079,1212,406,676,723,330,296,502,386,631,479,522,848,847,331,464,608,574,622,505,584,676,463,439,341,1344,396,842,830,283,304,424,373,588,461,426,766,737,366,352,909,532,792,518,530,620,568,501,452,2079,2033,1863,891,541,481,147,211,715,126,739,710,1725,342,361,45,514,1467,370,262,231
"G01005","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,"Congressional District 5 (116th Congress), Alabama",714145,349456,20929,22813,22150,14364,9557,4916,4892,13924,24061,22895,22286,21032,23461,26262,25507,8958,12227,7148,9532,13506,8467,6209,4360,364689,19761,21274,22090,14217,8966,4764,5264,13464,23304,22776,21076,23432,24293,27284,26422,9730,13066,8775,11110,15594,11114,8890,8023,714145,677764,518936,123821,4343,11757,493,1315,17099,159,16940,36381,23713,1050,257,92,41,9632,1596,869,727,"Congressional District 5 (116th Congress), Alabama",197,350,207,876,926,147,284,551,575,743,286,298,872,869,225,148,709,733,630,508,523,571,496,441,364,320,192,819,786,223,205,540,510,591,200,201,852,871,178,166,862,725,770,576,633,596,490,503,504,197,197,423,1083,421,539,130,447,1251,80,1233,4,1411,357,157,60,56,1225,369,349,188
"G01006","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,"Congressional District 6 (116th Congress), Alabama",703715,341129,22006,22907,24353,14869,8499,3324,4210,12102,22083,22726,23024,23137,23885,23023,22649,8962,11987,7553,9917,12260,8333,5169,4151,362586,21495,22921,23240,13791,7905,4379,3503,11976,23278,24099,23952,24171,24388,24086,24706,9836,13109,8690,10897,14818,10851,8232,8263,703715,669725,535082,107947,1410,12186,134,1412,11554,489,11065,33990,17207,657,225,60,9,14857,975,644,331,"Congressional District 6 (116th Congress), Alabama",2347,1677,646,1037,975,423,375,418,427,680,677,632,982,903,492,580,816,637,669,472,474,477,488,376,428,1751,564,808,810,402,450,483,430,659,565,576,977,996,557,472,964,622,655,549,616,617,534,496,478,2347,2393,1899,2289,396,837,56,559,1322,311,1288,1130,1293,355,148,76,15,1567,315,314,134
"G01007","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,"Congressional District 7 (116th Congress), Alabama",669646,314063,20744,21455,19279,12717,12515,6687,6215,15923,24976,20244,18953,17647,16714,19614,20694,7797,11510,7301,8265,10185,6907,4376,3345,355583,20120,19128,19928,12700,14262,6737,6527,15845,26159,22839,20878,20348,20361,23059,24328,9390,14614,8720,10972,12307,10433,8076,7852,669646,649927,212914,421977,939,5799,204,1033,7061,248,6813,19719,10060,1325,373,41,19,6951,950,669,281,"Congressional District 7 (116th Congress), Alabama",3150,2137,777,998,911,577,513,534,732,982,907,634,923,945,562,584,739,549,694,501,523,635,412,309,326,2184,710,840,923,508,822,679,735,859,709,687,918,917,546,561,850,533,658,547,528,605,510,502,464,3150,3081,2281,2652,255,806,96,565,947,177,962,1291,1214,364,238,41,33,1147,324,265,215
"G02000","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"Congressional District (at Large) (116th Congress), Alaska",738516,385579,27605,26511,26200,15376,9785,6014,6587,20020,32871,29750,26104,22094,23403,25326,25948,9884,13164,7903,9285,10386,5747,3282,2334,352937,26635,26117,23521,14173,8117,4456,4790,14882,28979,26919,23444,21037,21471,23144,24956,9574,11231,6552,9155,10085,5694,4092,3913,738516,687330,450754,22817,103506,45617,8544,1459,54633,645,53988,51186,28080,1312,3154,939,305,9568,7828,2829,4999,"Congressional District (at Large) (116th Congress), Alaska",0,465,143,750,729,233,220,625,654,640,243,278,684,689,347,335,762,585,651,423,409,457,328,273,268,465,140,644,609,215,232,424,370,589,228,217,627,600,251,155,616,475,449,473,492,442,329,273,305,0,121,457,675,1355,969,413,566,1766,212,1734,121,1319,357,603,332,181,1166,745,525,596
"G04001","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,"Congressional District 1 (116th Congress), Arizona",753580,379002,23706,25262,26820,15584,11548,5991,6423,16734,26208,24667,23000,22494,21623,20690,22539,8881,13309,8723,12096,17747,12790,7450,4717,374578,22697,25330,26217,15273,14130,6799,5818,13408,21977,21329,21840,19840,19792,21796,24140,9999,14799,9346,14014,18301,13171,7355,7207,753580,583124,366818,16209,168689,11856,1322,1046,17184,559,16625,170456,124959,1150,6380,772,105,27005,10085,3480,6605,"Congressional District 1 (116th Congress), Arizona",2691,2248,664,1041,874,544,490,562,552,917,673,631,874,833,645,643,741,505,708,609,591,789,594,506,354,1853,778,819,901,544,737,680,518,818,635,559,734,785,558,584,776,559,684,522,560,729,639,435,577,2691,2578,2510,1060,1466,828,249,533,1266,276,1253,2360,2873,385,1089,355,75,2078,1325,658,1004
"G04002","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,"Congressional District 2 (116th Congress), Arizona",719924,356229,20643,21371,19961,12537,8297,6055,6055,17223,25510,23610,21325,19326,20034,21874,21611,9008,14034,9516,12873,16959,12641,8306,7460,363695,20186,19352,19891,11987,7653,4792,5779,15692,22682,21185,20748,18781,20113,22653,24071,11091,15644,10691,14521,19500,15410,10023,11250,719924,515278,438332,26199,6942,21896,1535,1118,19256,684,18572,204646,146792,2254,3943,701,181,37767,13008,6125,6883,"Congressional District 2 (116th Congress), Arizona",3574,2169,757,858,931,462,525,689,735,1055,693,610,687,804,449,500,755,513,728,441,582,709,491,453,421,2278,740,834,840,514,530,549,606,863,616,648,783,669,464,438,773,588,614,726,688,680,696,640,613,3574,2709,2518,1125,666,916,319,338,1187,214,1191,2786,2827,543,747,307,107,2023,1148,790,779
